HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
3,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Escarpia,laminata,Escarpia laminata,,,,,,,,,,,,300,1466,wild,medium,acceptable,,,,,,1466
5,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Lamellibrachia,luymesi,Lamellibrachia luymesi,,,,,,,,,,,,250,652,wild,small,acceptable,,,,,,652
6,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Seepiophila,jonesi,Seepiophila jonesi,,,,,,,,,,,,300,1467,wild,small,acceptable,,,,,,1467
8,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,hasselti,Australian redback spider,,,,,,,,,,,,,,unknown,medium,low,,,,,,1455
9,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,,,,,,,,,,,,0.19,,unknown,medium,acceptable,,,,,,"1,29,41,29,51,296"
11,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7,7,,,,,,,,,,0.3,,captivity,large,acceptable,0.05,0.04,,,,"2,20,32,47,53,68,69,24,00,00,00,00,00,00,00,00,00,00,000"
12,Animalia,Arthropoda,Insecta,Diptera,Neriidae,Telostylinus,angusticollis,Telostylinus angusticollis,,,,,,,,,,,,0.05,1442,wild,medium,acceptable,,,,,,1442
13,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Ceratitis,capitata,Mediterranean fruit fly,,,,,,,,,,,,0.49,1447,captivity,large,acceptable,,,,,,1447
14,Animalia,:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uArthropoda,Insecta,Hemiptera,Pseudococcidae,Maconellicoccus,hirsutus,Mealybug,,,,,,,,,,,,0.08,1449,captivity,small,acceptable,,,,,,1449,,
15,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee,,,,,,,,,,,,8,812,unknown,medium,acceptable,,,,,,"63,40,74,08,74,18,05,80,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
16,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,terrestris,Buff tailed bumblebee,,,,,,,,,,,,0.27,1444,captivity,small,acceptable,,,,,,1444
18,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,,,,,,,,,,,,0.5,1293,captivity,medium,acceptable,,,,,,1293
19,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant,,,,,,,,,,,,28,411,unknown,medium,acceptable,,,,,,"41,18,13,81,41,364"
20,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,dentata,Pheidole dentata,,,,,,,,,,,,0.4,1156,captivity,medium,questionable,,,,,,1156
21,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15,15,,,,,,,,,,0.5,811,wild,medium,acceptable,,,,,,"41,88,09,811"
22,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Teleogryllus,commodus,Black field cricket,,,,,,,,,,,,,,unknown,medium,low,,,,,,1443
23,Animalia,Arthropoda,Insecta,Orthoptera,Romaleidae,Romalea,microptera,Eastern lubber grasshopper,,,,,,,,,,,,,,unknown,medium,low,,,,,,"1,46,01,461"
24,Animalia,Arthropoda,Insecta,Phasmatodea,Lonchodidae,Carausius,morosus,Indian stick insect,,,,,,,,,,,,,,unknown,medium,low,,,,,,1441
25,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,,,,,,,,,,,,100,2,wild,medium,acceptable,,,,,,"2,13,594"
27,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Astyanax,mexicanus,Mexican tetra,,,,,,,,,,,,15,1427,captivity,small,acceptable,,,,,,1427
28,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Heterandria,formosa,Least killifish,,,,,,,,,,,,,,unknown,medium,low,,,,,,"1,45,31,454"
29,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,Dissostichus,eleginoides,Patagonian toothfish,,,,,,,,,,,,50,1456,unknown,medium,acceptable,,,,,,1456
30,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Meuschenia,scaber,Smooth leatherjacket,559,555,,,,,,,,,,17.1,1422,wild,medium,acceptable,,,,,,1422
32,Animalia,Chordata,Amphibia,Anura,Ascaphidae,Ascaphus,truei,Coastal tailed frog,,,32,,62,,,,,,,14,525,wild,medium,acceptable,,,,,,"5,25,749"
33,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095,1095,,,190,,,,,,,20,485,captivity,medium,acceptable,,,,,,"48,55,25,749"
34,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,,,,,148,,,,,,,15.8,451,captivity,large,acceptable,,,,,,"45,15,25,749"
35,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,,,,,73,,,,,,,29,,captivity,medium,acceptable,,,,,,"2,45,25,749"
36,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910,910,8,,6000,,365,,,21.7667,,36,525,captivity,medium,acceptable,,,0.00829,21.6,288,"3,72,68,42,65,25,749"
37,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095,1095,6,,5200,,,,,,,11.5,451,captivity,medium,acceptable,,,,,,"4,37,45,15,26,749"
38,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,californicus,Arroyo toad,,,,,,,,,,,,8,1440,wild,medium,acceptable,,,,,,1440
39,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825,1460,11,,1750,,,,,,,15,503,wild,medium,acceptable,,,,,,"50,35,26,749"
40,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Great plains toad,730,730,4,,11074,,,,,,,10.7,485,captivity,small,questionable,,,,,,"48,55,26,749"
41,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,debilis,Green toad,,,,,1300,,,,,,,12.4,451,captivity,small,acceptable,,,,,,"4,51,749"
42,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian toad,730,730,,,,,,,,,,13.3,451,captivity,small,acceptable,,,,,,"4,51,528"
43,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730,730,,,1500,,,,,,,11.3,485,captivity,medium,acceptable,,,,,,"4,85,749"
44,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,,,2,,,,,,,,,15.3,451,captivity,small,acceptable,,,,,,"4,51,749"
45,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,,,3,,3250,,,,,19.267,,10,451,captivity,medium,acceptable,,,0.00698,19.2,288,"3,74,51,749"
46,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,,,,,,,,,,,,10,451,captivity,large,acceptable,,,,,,451
47,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460,1460,,,,,,,,,,40,451,captivity,medium,acceptable,,,,,,"45,15,25,52,61,134"
48,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,"Sonoran desert toad, or Colorado river toad",,1095,,,7750,,,,,,,15.4,485,captivity,medium,acceptable,,,,,,"4,85,749"
49,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophrynoides,asperginis,Kihansi spray toad,,,,,,,,,,,,5,990,captivity,medium,questionable,,,,,,990
50,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,lemur,Ridge-headed toad,,,,,,,,,,,,10.7,451,captivity,small,acceptable,,,,,,451
51,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,peltocephala,Cuban toad,,,,,,,,,,,,20,485,captivity,small,acceptable,,,,,,485
52,Animalia,Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European green toad,,,,,,,,,,,,11.9,451,captivity,large,acceptable,,,,,,451
53,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian giant toad,,,,,,,,,,,,28.7,451,captivity,tiny,acceptable,,,,,,451
54,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,arenarum,Argentine toad,,,,,,,,,,,,,,unknown,small,low,,,,,,"4,51,525"
55,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,365,365,2,,10000,,,,,106.25,,24.8,485,captivity,large,acceptable,,,0.0303,105,293,"37,29,64,85,749"
56,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,schneideri,Eurura toad,,,,,,,,,,,,15.1,451,captivity,small,acceptable,,,,,,451
57,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,aurita,Common horned frog,,,,,,,,,,,,12.8,451,captivity,small,acceptable,,,,,,451
58,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,,,,,,,,,,,,15.9,451,captivity,tiny,acceptable,,,,,,451
59,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog,,,,,,,,,,,,10.3,485,captivity,small,acceptable,,,,,,"4,85,749"
60,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,,,,,,,,,,,,14.7,451,captivity,medium,acceptable,,,,,,451
61,Animalia,Chordata,Amphibia,Anura,Conrauidae,Conraua,goliath,Goliath frog,,,,,,,,,,,,5.9,451,captivity,small,acceptable,,,,,,"4,51,749"
62,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365,365,12,,6,,,,,,,20.5,448,captivity,large,acceptable,,,,,,"4,48,749"
63,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75,75,12,,7,,,,,,,11.5,451,captivity,large,acceptable,,,,,,"4,51,749"
64,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,Blue poison-dart frog,,,,,,,,,,,,,,unknown,large,low,,,,,,451
65,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog,,,,,,,,,,,,9.1,451,captivity,medium,acceptable,,,,,,451
66,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,pumilio,Strawberry poison frog,,,,,,,,,,,,7.5,451,captivity,medium,acceptable,,,,,,451
67,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates,vittatus,Golfo dulce poison-dart frog,304,304,15,,14,,,,,,,,,unknown,medium,low,,,,,,749
68,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog,,,,,,,,,,48.1,,10.9,451,captivity,small,acceptable,,,,,,"4,51,749"
69,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,blanchardi,Blanchard's cricket frog,,,,,,,,,,1,,,,unknown,small,low,,,,,,1096
70,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Northern cricket frog,,,,,,,,,,,,4.9,485,captivity,small,questionable,,,,,,"4,85,74,91,096"
71,Animalia,Chordata,Amphibia,Anura,Hylidae,Diaglena,spatulata,Treefrog,,,,,,,,,,,,12.8,451,captivity,tiny,acceptable,,,,,,451
72,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,European tree frog,,,,,,,,,,,,22,451,captivity,small,acceptable,,,,,,451
73,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog,730,547,21,,35,,,,,,,7.8,485,captivity,medium,acceptable,,,,,,"48,55,28,749"
74,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,cinerea,Green treefrog,730,730,,,1222,,,,,,,,,unknown,medium,low,,,,,,"4,85,749"
75,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,gratiosa,Barking treefrog,,,,,2250,,,,,,,12.5,451,captivity,medium,acceptable,,,,,,"4,51,749"
76,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,japonica,Japanese treefrog,1278,1278,,,920,,,,,,,8.9,451,captivity,small,acceptable,,,,,,"4,51,749"
77,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel treefrog,,,1,,1000,1,,,,,,8.5,485,captivity,medium,acceptable,,,,,,"4,85,749"
78,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,730,730,4,,1800,,,,,7.2,,7.8,543,captivity,medium,acceptable,,,0.00433,6.97,290.5,"37,52,85,43,749"
79,Animalia,Chordata,Amphibia,Anura,Hylidae,Hypsiboas,rosenbergi,Rosenberg's treefrog,,,,,775,,,,,,,,,unknown,small,low,,,,,,"4,85,749"
80,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,caerulea,Australian green treefrog,,,,,1100,,,,,,,20,451,captivity,large,acceptable,,,,,,"4,51,749"
81,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban treefrog,255,120,1,,1500,,,,,,,12.9,451,captivity,medium,acceptable,,,,,,"4,51,749"
82,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,vastus,Hispaniola giant treefrog,,,,,,,,,,,,6.6,451,captivity,small,questionable,,,,,,451
83,Animalia,Chordata,Amphibia,Anura,Hylidae,Pachymedusa,dacnicolor,Mexican leaf frog,,,,,,,,,,,,8.7,451,captivity,small,acceptable,,,,,,451
84,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,crucifer,Spring peeper,912,912,10,,700,,,,,4,,,,unknown,small,low,,,0.00105,0.9,292,"3,74,51,52,55,28,749"
85,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis,paradoxa,Paradox frog,,,,,,,,,,,,11,451,captivity,small,acceptable,,,,,,451
86,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,baudinii,Mexican treefrog,,,,,2480,,,,,,,6.3,485,captivity,small,acceptable,,,,,,"4,85,749"
87,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,fodiens,Lowland burrowing treefrog,,,,,,,,,,,,5.1,485,captivity,small,acceptable,,,,,,485
88,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,phaeota,Masked treefrog,,,,,2000,,,,,,,4.1,485,captivity,small,acceptable,,,,,,"4,85,749"
89,Animalia,Chordata,Amphibia,Anura,Hylidae,Trachycephalus,venulosus,Marbled treefrog,,,,,,,,,,,,10.5,451,captivity,small,acceptable,,,,,,451
90,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,pentadactylus,Tungara frog,,,,,,,,,,,,18.8,451,captivity,medium,acceptable,,,,,,451
91,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella,,,14,,40,,,,,,,10.9,451,captivity,large,acceptable,,,,,,"4,51,749"
92,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,expectata,Blue-legged mantella,365,365,,,,,,,,,,3,1060,wild,small,questionable,,,,,,1060
93,Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern narrow-mouthed toad,547,365,1,,722,,,,,,,6.8,485,captivity,small,acceptable,,,,,,"48,55,28,749"
94,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula,pulchra,Malaysian narrowmouth toad,,,,,,,,,,,,11,485,captivity,medium,acceptable,,,,,,485
95,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Ornate narrow-mouthed frog,547,182,,,,,,1125,,,,5,964,wild,small,acceptable,,,,,,964
96,Animalia,Chordata,Amphibia,Anura,Microhylidae,Phrynomantis,bifasciatus,Red-banded frog,,,,,,,,,,,,10.3,451,captivity,medium,acceptable,,,,,,451
97,Animalia,Chordata,Amphibia,Anura,Microhylidae,Scaphiophryne,gottlebei,Rainbow frog,365,365,,,,,,,,,,2,1060,wild,small,questionable,,,,,,1060
98,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Mixophyes,fleayi,Fleay's barred frog,,,,,,,,,,,,8,1433,wild,medium,acceptable,,,,,,1433
99,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Common Eurasian spadefoot toad,,,8,,1740,,,,,,,11,485,captivity,medium,acceptable,,,,,,"4,85,749"
100,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,Ranoidea,chloris,Orange-eyed tree frog,1096,1096,,,,,,,,,,6,1433,wild,medium,acceptable,,,,,,1433
101,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,Ranoidea,lesueurii,Lesueur's frog,1096,730,,,,,,,,,,5,1433,wild,small,acceptable,,,,,,1433
102,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,Ranoidea,pearsoniana,Pearson's green tree frog,730,730,,,,,,,,,,,,unknown,medium,low,,,,,,1433
103,Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Agalychnis,callidryas,Red-eyed tree frog,,,,,,,,,,,,,,unknown,large,low,,,,,,485
104,Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Agalychnis,spurrelli,Maroon-eyed tree frog,,,,,,,,,,,,5.5,451,captivity,tiny,acceptable,,,,,,451
105,Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Phyllomedusa,bicolor,Waxy treefrog,,,,,,,,,,,,10.3,451,captivity,medium,acceptable,,,,,,451
106,Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa,pipa,Surinam toad,,,,,,,,,,,,7.7,485,captivity,medium,acceptable,,,,,,"4,85,749"
107,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,183,,2,,,,,,,130,,30.3,451,captivity,large,acceptable,,,0.012,63.6,288,"10,37,19,64,51,52,66,00,00,00,000"
108,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,adspersus,African bullfrog,,,,,,,,,,,,45,451,captivity,medium,acceptable,,,,,,"4,51,749"
109,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Tomopterna,delalandii,Cape sand frog,,,,,,,,,,,,11.3,451,captivity,small,acceptable,,,,,,451
110,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,1277,730,4,,,,,,,54.4,,16,485,captivity,medium,acceptable,,,0.0134,51.2,288,"23,74,85,52,65,28,749"
111,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Green frog,730,730,,,4000,,,,,,,10,528,captivity,medium,acceptable,,,,,,"5,28,749"
112,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog,730,365,,,4146,,,,,29.0222,,9,525,wild,medium,acceptable,,,0.00576,21.6,289.78,"3,74,22,68,52,55,28,740"
113,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,septentrionalis,Mink frog,730,547,,,2250,,,,,,,6,528,wild,medium,acceptable,,,,,,"5,28,749"
114,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,Wood frog,912,547,,,900,,,,,7.88,,5,,unknown,medium,questionable,,,0.00416,7.8,289.8,"3,74,32,89,34,05,28,740"
115,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,virgatipes,Carpenter frog,,730,,,,,,,,,,6.2,485,captivity,small,acceptable,,,,,,"4,85,749"
116,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,lessonae,Pool frog,,,,,2420,,,,,,,6,525,wild,medium,acceptable,,,,,,"5,25,749"
117,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,nigromaculatus,Black-spotted frog,730,730,,,2800,,,,,,,15,651,wild,medium,acceptable,,,,,,"6,51,749"
118,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,perezi,Italian green frog,912,912,6,,,,,,,,,6.8,650,captivity,small,acceptable,,,,,,"52,56,50,749"
119,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,ridibundus,Marsh frog,1460,1095,,,6835,,,,,,,11,525,wild,medium,acceptable,,,,,,"52,57,49,895"
120,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,amurensis,Siberian wood frog,1640,1640,,,2125,,,,,,,9,525,wild,medium,acceptable,,,,,,"5,25,749"
121,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,arvalis,Moor frog,,,,,1750,,,,,,,11,525,wild,medium,acceptable,,,,,,"5,25,749"
122,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,aurora,"Red-legged frog, or California red-legged frog",,,,,,,,,,,,15,503,wild,medium,acceptable,,,,,,"50,31,150"
123,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,esculenta,Edible frog,,,,,,,,,,,,12,525,wild,medium,acceptable,,,,,,525
124,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,iberica,Iberian frog,,,,,318,,,,,,,8,525,wild,medium,acceptable,,,,,,"5,25,749"
125,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,macrocnemis,Long-legged wood frog,912,912,,,2040,,,,,,,5,525,wild,medium,acceptable,,,,,,"5,25,749"
126,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,temporaria,European frog,1095,1095,,,2585,,,,,,,27,,unknown,medium,acceptable,,,,,,"25,52,55,26,74,91,118"
127,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,couchii,Couch's spadefoot,,,,,3000,,,,,,,6.7,485,captivity,small,questionable,,,,,,"45,84,85,749"
128,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,Eastern spadefoot,730,730,8,,3872,,,,,,,12.3,485,captivity,small,acceptable,,,,,,"48,55,28,749"
129,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,intermontana,Great Basin spadefoot,,,3,,676,,,,,,,20,437,wild,medium,acceptable,,,,,,"4,37,749"
130,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,Northwestern salamander,730,730,,,150,,,,,,,10.2,485,captivity,small,acceptable,,,,,,"4,85,749"
131,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mabeei,Mabee's salamander,,,,,,,,,,,,8.8,485,captivity,small,acceptable,,,,,,485
132,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,Long-toed salamander,730,730,40,,250,,,,,,,10,437,wild,medium,acceptable,,,,,,"4,37,749"
133,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted salamander,1095,730,,,125,,,,,12.84,,32,,unknown,medium,acceptable,,,0.005,12.8,290,"3,75,28,749"
134,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,Axolotl,548,548,18,,,,,,,,,17,451,captivity,large,acceptable,,,,,,"44,94,51,74,97,96,843"
135,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,1296,1113,,,100,,,,,,,11.3,485,captivity,small,acceptable,,,,,,"48,55,28,749"
136,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,rosaceum,Chihuahuan mole salamander,,,,,,,,,,,,14.4,451,captivity,small,acceptable,,,,,,451
137,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,Mole salamander,730,730,,,350,,,,,,,9,749,unknown,medium,acceptable,,,,,,"5,28,749"
138,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,texanum,Small-mouthed salamander,,,35,,625,,,,,,,13.8,485,captivity,tiny,acceptable,,,,,,"4,85,749"
139,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger salamander,1460,1460,28,,37,,,,,9.402,,25,485,captivity,medium,acceptable,,,0.00196,3.21,291,"2,73,74,40,48,51,143"
140,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,ensatus,California giant salamander,,,150,,85,,,,,,,16.9,451,captivity,tiny,acceptable,,,,,,"4,51,749"
141,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,means,Two-toed amphiuma,1460,1095,150,,200,,,,,200.967,,27,485,captivity,small,acceptable,,,0.00904,199,288,"3,74,85,749"
142,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,tridactylum,Three-toed amphiuma,,,135,,200,,,,,,,15.9,485,captivity,small,acceptable,,,,,,"4,85,749"
143,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,davidianus,Chinese giant salamander,,,55,,500,,,,,,,,,unknown,small,low,,,,,,"4,85,749"
144,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,japonicus,Japanese giant salamander,1825,1825,60,,500,,,,,,,55,485,captivity,small,acceptable,,,,,,"24,85,749"
145,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,1825,1825,72,,275,,,,,358.1,,29,528,wild,medium,acceptable,,,0.0253,358,288,"3,74,40,528"
146,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,boulengeri,Boulenger's oriental salamander,,,,,32,,,,,,,11.9,485,captivity,small,acceptable,,,,,,"2,30,23,14,85,749"
147,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,leechii,Chinese salamander,,,,,,,,,,,,7.1,451,captivity,small,acceptable,,,,,,451
148,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,nebulosus,Clouded salamander,,,,,,,,,,,,14.2,485,captivity,medium,acceptable,,,,,,485
149,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,retardatus,Japanese salamander,,,,,,,,,,,,12.9,485,captivity,small,acceptable,,,,,,485
150,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,fischeri,Long-tailed clawed salamander,,,,,,,,,,,,17,525,wild,medium,acceptable,,,,,,525
151,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,japonicus,Japanese clawed salamander,,,,,17,,,,,,,14.2,451,captivity,small,acceptable,,,,,,"4,51,749"
152,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Paradactylodon,mustersi,Afghanistan salamander,,,,,,,,,,,,11,451,captivity,small,acceptable,,,,,,451
153,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Salamandrella,keyserlingii,Siberian salamander,,,23,,70,,,,,,,8,525,wild,medium,acceptable,,,,,,"5,25,749"
154,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,aeneus,Green salamander,912,912,82,,21,2,,,,,,,,unknown,tiny,low,,,,,,"45,15,28,749"
155,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,lugubris,Arboreal salamander,1095,1095,,,14.5,,,,,,,,,unknown,small,low,,,,,,"4,85,749"
